blockgroupID,mural_presence,log_income,pop,area,black_prop,vacantprop,comresprop,pos_control,pos_control_w_noise
85_6,1,9.96665012749377,845,833502.8195,0.919526627,0.013914003,0.149052005,10,10
85_7,1,9.40393152102837,1148,1413177.086,0.933797909,0.033599017,0.324429494,11,11
86.02_1,1,9.56233437739637,936,2197303.132,0.757478632,0.082223128,0.509150764,12,12
87.01_1,1,10.3129114808315,1079,809510.849,0.087117702,0,0.022256419,13,13
87.01_2,1,9.50673438502998,1152,926894.1807,0.302083333,0.020864983,0.325024232,14,14
87.02_1,1,9.86287386965083,1774,2121469.832,0.159526494,0.003703289,0.351213888,15,15
88.02_2,1,8.9201217518724,1186,1102718.761,0.225969646,0.003283414,0.436274122,16,16
9.01_1,1,10.3869008686918,1199,583591.5628,0.124270225,0.000940491,0.409726983,17,17
9.01_2,1,10.4386642671659,1077,550295.9934,0.061281337,0.006440139,0.357112889,18,18
91_1,1,10.3435795047873,728,760593.8662,0.217032967,0,0.045493477,19,19
91_2,1,10.1524547838598,806,2680316.923,0.245657568,0,0.313550172,20,20
91_3,1,9.27209376825166,1269,1133318.299,0.632781718,0.024769168,0.182945273,21,21
92_1,1,9.70448768268936,1627,3834887.415,0.766441303,0.016408484,0.234022542,22,22
92_2,1,9.35910514524129,1257,1668433.397,0.758949881,0.080246971,0.037112196,23,23
93_3,1,9.41246455606632,659,890161.3466,0.915022762,0.142025677,0.158411531,24,24
93_4,1,9.97273372527294,774,839063.6974,0.948320413,0.009590133,0.181010588,25,25
94_2,1,9.37347910935336,1206,1406611.021,0.965174129,0.059689613,0.055482704,26,26
94_3,1,9.34548296591848,661,544751.5329,0.950075643,0.051595804,0.039851163,27,27
94_4,1,9.33714921883988,1287,1362598.422,0.945609946,0.026805336,0.023731311,28,28
96_2,1,9.02087334702136,757,640260.2871,0.939233818,0.007130123,0.107472226,29,29
96_3,1,9.25205796532805,804,661911.3935,0.944029851,0.012767416,0.114417364,30,30
9800_1,1,8.8942588250027,601,112160439.2,0.227953411,0.000814038,0.641902193,31,31
9804_1,1,NA,0,31943895.64,NA,0.004759836,NA,32,32
9807_1,1,NA,5,82564602.62,0.6,0.047836993,1,33,33
9809_1,1,NA,30,222224904.7,0.6,0.052108805,0.788794005,34,34
9891_1,1,9.36554763627857,3230,46425859.45,0.712074303,0.007066484,0,35,35
10.01_1,0,11.5672242383776,1562,1314033.904,0.018565941,0,0.547017501,-10,-10
10.02_1,0,11.0350186879613,1429,2069981.834,0.020293912,0.024737297,0.287075077,-11,-11
10.02_2,0,11.5487075806099,655,754607.1032,0.010687023,0.015547334,0.067870648,-12,-12
10.02_3,0,11.4380941543472,1528,2243923.608,0.037303665,0,0.323529126,-13,-13
100_1,0,9.2681374707024,1252,1260206.471,0.82428115,0.011863852,0.033698171,-14,-14
100_2,0,10.1433702198546,746,779814.1184,0.813672922,0.00944645,0.051250838,-15,-15
100_3,0,9.99811568161491,734,675374.5742,0.861035422,0.003587685,0.040137502,-16,-16
100_4,0,9.8382020858375,1634,2634901.09,0.828029376,0.012861391,0.225593346,-17,-17
101_1,0,9.74922853350706,779,800599.3825,0.96534018,0.022728029,0.061204695,-18,-18
101_2,0,9.82903336661118,788,888376.2797,0.922588832,0.01166909,0.081742239,-19,-19
101_3,0,9.31316768177565,734,839953.707,0.945504087,0.031451948,0.119426938,-20,-20
101_4,0,9.92309408217505,865,1354567.736,0.942196532,0.059534188,0.05865278,-21,-21
101_5,0,9.6825914737624,696,978310.1348,0.887931034,0.019937417,0.213437345,-22,-22
101_6,0,9.81836529911929,907,976548.0625,0.926130099,0.007786707,0.046620762,-23,-23
101_7,0,9.48842655075452,690,627293.1991,0.937681159,0.002779775,0.033432653,-24,-24
102_1,0,9.09840271873532,739,597324,0.933694181,0.021071872,0.032218765,-25,-25
102_2,0,8.97966855424118,1120,2097111.528,0.96875,0.023985932,0.297657177,-26,-26
102_3,0,9.27491014262548,1328,1182101.698,0.964608434,0.035294302,0.014430817,-27,-27
103_1,0,9.81482025981996,1387,1806511.391,0.937995674,0.095227473,0.058092835,-28,-28
103_2,0,9.73571957674968,1062,1217942.229,0.942561205,0.041813867,0.072590994,-29,-29
104_1,0,10.19653023123,535,740957.7731,0.951401869,0.067343746,0.01862177,-30,-30
104_2,0,9.98095772330303,725,670044.5604,0.943448276,0.025554261,0.006853145,-31,-31
104_4,0,9.40285975374658,926,1898574.977,0.859611231,0.026893674,0.397977626,-32,-32
105_1,0,9.08500388066489,295,1090439.167,0.938983051,0.15732639,0.257979531,-33,-33
105_2,0,9.17843682296317,1997,2978910.73,0.91987982,0.058806587,0.120108128,-34,-34
105_3,0,9.79807147977948,1454,3001285.581,0.927097662,0.036581763,0,-35,-35
107_1,0,8.88571765171212,595,822055.162,0.949579832,0.105272382,0.018219436,-36,-36
107_3,0,9.27105910701089,662,718505.4744,0.944108761,0.055590008,0.034631958,-37,-37
107_4,0,8.90490157793514,1128,1331843.377,0.939716312,0.105600718,0.013026575,-38,-38
108_1,0,9.20331575703922,551,1740233.611,0.954627949,0.128096601,0.004356456,-39,-39
108_2,0,9.00085314710946,633,1115539.112,0.936808847,0.281464377,0.031291616,-40,-40
108_3,0,9.22926025682869,1093,1696987.483,0.790484904,0.194890171,0.041490169,-41,-41
108_5,0,9.29025999515206,533,837643.2815,0.941838649,0.177859014,0.038777932,-42,-42
11.01_1,0,10.7781643096898,701,387597.1691,0.09700428,0.024744998,0.351654669,-43,-43
11.01_3,0,10.9650554248649,1032,573251.8286,0.060077519,0.00082477,0.101545915,-44,-44
11.02_1,0,10.9799053556945,972,1431039.839,0.04218107,0,0.063553518,-45,-45
11.02_2,0,10.834036156157,1687,761823.4419,0.052756372,0,0.107837853,-46,-46
111_3,0,8.87654455055838,715,932235.8192,0.93986014,0.090318358,0.168379294,-47,-47
112_1,0,10.1358286762044,646,631656.8773,0.945820433,0.030350859,0.077483571,-48,-48
112_2,0,10.0242439411719,670,844012.7446,0.973134328,0.041694165,0.067846694,-49,-49
112_3,0,9.59396878547517,804,758585.2262,0.949004975,0.003369359,0.024780858,-50,-50
112_4,0,9.82102943009561,950,952742.0375,0.938947368,0.002546504,0.024885064,-51,-51
112_5,0,9.37881652194808,781,814060.8806,0.930857875,0.003444301,0.014063372,-52,-52
112_6,0,9.2983512492989,754,690984.3117,0.938992042,0.049470444,0.034249741,-53,-53
112_7,0,9.13712430964492,889,717216.9081,0.941507312,0.014829952,0.016021103,-10,-10
113_1,0,10.0387175017962,1047,1603381.879,0.93982808,0.000923048,0.213915257,-11,-11
113_2,0,9.70826311038665,906,1125124.357,0.94812362,0.111218504,0.050561898,-12,-12
113_3,0,9.36417671669105,964,872104.3884,0.950207469,0.019842193,0.024637204,-13,-13
114_1,0,9.81558486936022,1262,2269858.651,0.872424723,0.022736541,0.037252039,-14,-14
114_2,0,9.51214721847336,743,793328.7439,0.939434724,0.010904471,0.009798094,-15,-15
114_3,0,9.74132150194574,835,754571.2601,0.943712575,0.005776881,0.011480316,-16,-16
114_4,0,9.79790478996106,848,791649.9315,0.956367925,0.001979131,0.03008428,-17,-17
114_5,0,9.30392178559771,1424,1520172.807,0.927668539,0.021544383,0.02277127,-18,-18
114_6,0,10.1773622402567,1014,4331172.272,0.886587771,0.017422219,0.200359607,-19,-19
115_1,0,10.0727238697814,945,855821.943,0.871957672,0,0,-20,-20
115_2,0,9.72142596194803,1230,1040112.373,0.827642276,0.002625505,0.019308272,-21,-21
115_3,0,10.2031105475556,1117,1349775.675,0.852282901,0.003467561,0.0507377,-22,-22
115_4,0,9.87338910471209,990,737102.2202,0.860606061,0.003117863,0.036603231,-23,-23
117_1,0,9.48135938353142,1931,7032910.203,0.369238736,0.00386953,0,-24,-24
118_1,0,10.0864755538732,781,1303810.571,0.85915493,0.023074782,0.004942224,-25,-25
118_2,0,10.3117487479463,1063,1188801.142,0.939793039,0.010031259,0.023809853,-26,-26
118_3,0,9.68421151274841,1101,4284228.902,0.965485922,0.013754886,0.160732597,-27,-27
118_4,0,9.84638796049556,610,657138.7575,0.942622951,0.008175242,0.013489298,-28,-28
118_5,0,10.1703417222765,1343,1673749.288,0.921816828,0,0.003882657,-29,-29
118_6,0,9.59879495125094,723,732086.7894,0.9197787,0,0.016697783,-30,-30
119_1,0,9.84908416365674,1183,1413125.539,0.92476754,0.019415212,0.074082654,-31,-31
119_2,0,10.1163383143649,1652,1898631.623,0.924939467,0.014682873,0.007525005,-32,-32
119_4,0,10.2504757308853,739,1790334.996,0.866035183,0.004154886,0.102762073,-33,-33
119_5,0,9.75359446296151,656,701279.0763,0.893292683,0.002943507,0.010691632,-34,-34
12.01_1,0,11.239632701399,770,1635262.794,0.012987013,0,0.009570206,-35,-35
12.01_2,0,11.6636961533423,1116,850620.3627,0.034946237,0,0.051036148,-36,-36
12.01_3,0,11.3848306956626,956,703634.8283,0.023012552,0,0.088002305,-37,-37
12.01_4,0,11.5167979571841,936,660714.3978,0.014957265,0,0.11868258,-38,-38
12.02_3,0,11.2745667478495,815,629640.5894,0.055214724,0,0.032100168,-39,-39
12.02_5,0,11.0242037401112,731,470943.4945,0.027359781,0,0.088011867,-40,-40
120_1,0,9.79523396709587,535,1951264.559,0.687850467,0.004248631,0.018584608,-41,-41
120_2,0,10.1999187396202,1412,4508429.199,0.488668555,0.004955013,0.110724845,-42,-42
121_1,0,10.055865232957,1258,1815101.595,0.611287758,0,0.150549459,-43,-43
121_2,0,9.80366721725392,1289,7671782.96,0.712179984,0.024481478,0.010561425,-44,-44
122.01_1,0,9.8045508046761,785,2316404.229,0.41656051,0,0.230792901,-45,-45
122.01_2,0,10.0574953650155,2126,1803027.984,0.358419567,0,0.049755447,-46,-46
122.03_1,0,9.835422821622,1120,2431952.374,0.301785714,0,0.437107604,-47,-47
122.04_1,0,10.428659770009,1754,2229711.445,0.644811859,0,0.131709817,-48,-48
122.04_2,0,10.2008847796745,1810,7511550.68,0.680662983,0.027758726,0.179114988,-49,-49
125_1,0,11.0608874826873,1479,3761963.217,0.154834348,0.001780866,0.677311196,-50,-50
125_2,0,11.1136859376563,2274,1797879.225,0.094986807,0.05617484,0.418921721,-51,-51
125_3,0,10.5877705621576,1457,4263195.898,0.08030199,0.007507117,0.5,-52,-52
13_1,0,10.9541518223309,727,596957.5134,0.277854195,0.000991992,0.086765759,-53,-53
13_2,0,10.607376829628,866,601691.4511,0.352193995,0.00611056,0.034821516,-10,-10
13_3,0,10.0898841284832,641,742919.914,0.425897036,0.022554627,0.015344134,-11,-11
13_4,0,10.4711565405191,721,527272.9077,0.375866852,0.001387188,0.016604053,-12,-12
131_1,0,10.0195357508988,890,2708904.15,0.758426966,0.04335791,0.079425586,-13,-13
132_1,0,9.5767180913763,1022,1538542.36,0.878669276,0.090959958,0,-14,-14
134.01_1,0,11.0269387845512,1154,650974.8185,0.031195841,0.003386059,0.100477093,-15,-15
134.01_2,0,11.0526978939673,1134,1112545.577,0.037037037,0.003973727,0.138771416,-16,-16
134.02_1,0,10.9130318052862,1094,817251.2716,0.101462523,0.00512956,0.084369838,-17,-17
